KUDRYCKA Barbara
LOCHBIHLER Barbara
MATERA Barbara
O'TOOLE Barbara
SCHMIDBAUER Barbara
SPINELLI Barbara
WEILER Barbara
NICHOLSON OF WINTERBOURNE Baroness
MADLENER Barry
SEAL Barry H.
STAES Bart
PRONK Bartho
BELDER Bas
EICKHOUT Bas
KHANBHAI Bashir
GOSIEWSKA Beata
VON STORCH Beatrix
BECERRA BASTERRECHEA Beatriz
FAYOT Ben
BENDTSEN Bendt
JÁVOR Benedek
DELLA VEDOVA Benedetto
DONNICI Beniamino
HAMON Benoît
ANDERSEN Bent Hindrup
BOURZAI Bernadette
VERGNAUD Bernadette
ANTONY Bernard
CASTAGNÈDE Bernard
DRZĘŹLA Bernard
KOUCHNER Bernard
LEHIDEUX Bernard
MONOT Bernard
POIGNANT Bernard
SOULAGE Bernard
STASI Bernard
WOJCIECHOWSKI Bernard
TAPIE Bernard R.
JOAN I MARÍ Bernat
KÖLMEL Bernd
LANGE Bernd
LUCKE Bernd
POSSELT Bernd
RAPKAY Bernhard
MALONE Bernie
DOORN Bert
HAARDER Bertel
DE GIOVANNI Biagio
BORZAN Biljana
ETHERIDGE Bill
MILLER Bill
NEWTON DUNN Bill
RAEVA Bilyana Ilieva
COLLIN-LANGEN Birgit
SCHNIEBER-JASTRAM Birgit
SIPPEL Birgit
AHLQVIST Birgitta
VĖSAITĖ Birutė
ALDO Blaise
VAN DEN BOS Bob
CEBALLOS Bodil
GOLIK Bogdan
KLICH Bogdan
PĘK Bogdan
ZDROJEWSKI Bogdan Andrzej
WENTA Bogdan Brunon
MARCINKIEWICZ Bogdan Kazimierz
PODGÓRSKI Bogdan Leszek
LIBERADZKI Bogusław
LITWINIEC Bogusław
ROGALSKI Bogusław
SONIK Bogusław
PIECHA Bolesław G.
ZALA Boris
CILEVIČS Boriss
GRUBIŠIĆ Boro
PAHOR Borut
BENIFEI Brando
ŠKRIPEK Branislav
DONNELLY Brendan Patrick
CROWLEY Brian
HAYES Brian
SIMPSON Brian
HORTEFEUX Brice
DOUAY Brigitte
FOURÉ Brigitte
LANGENHAGEN Brigitte
WENZEL-PERILLO Brigitte
REIMERS Britta
THOMSEN Britta
ROPĖ Bronis
GEREMEK Bronisław
KOWALSKA Bronisława
GOLLNISCH Bruno
TRENTIN Bruno
MÉGRET Bruno A.A.
CASSIDY Bryan M.D.
BALZ Burkhard
DÜHRKOP DÜHRKOP Bárbara
PATRIE Béatrice
GLATTFELDER Béla
KOVÁCS Béla
EURLINGS Camiel
NOGUEIRA ROMÁN Camilo
HAGLUND Carl
LANG Carl
SCHLYTER Carl
GASÒLIBA I BÖHM Carles-Alfred
CASINI Carlo
FATUZZO Carlo
FIDANZA Carlo
RIPA DI MEANA Carlo
SECCHI Carlo
BAUTISTA OJEDA Carlos
CANDAL Carlos
CARNERO GONZÁLEZ Carlos
COELHO Carlos
COSTA NEVES Carlos
ITURGAIZ Carlos
JIMÉNEZ VILLAREJO Carlos
LAGE Carlos
PIMENTA Carlos
